iso_code,name,sp_2024,old_sp_2050,new_sp_2050,observed_rate,correction_reason
aac,Ari,50,10,50,0.0,no observed rate; projected flat
aad,Amal,388,176,388,0.0,no observed rate; projected flat
aae,Arbëreshë,50000,33753,50000,0.0,no observed rate; projected flat
aaf,Aranadan,200,91,200,0.0,no observed rate; projected flat
aah,Abu',2560,1160,2560,0.0,no observed rate; projected flat
aai,Arifama-Miniafia,3470,1572,3470,0.0,no observed rate; projected flat
aat,Arvanitika,50000,33753,50000,0.0,no observed rate; projected flat
aau,Abau,7000,3171,7000,0.0,no observed rate; projected flat
aaz,Amarasi,70000,47254,70000,0.0,no observed rate; projected flat
abb,Bankon,12000,8101,12000,0.0,no observed rate; projected flat
abd,Camarines Norte Agta,4000,2700,4000,0.0,no observed rate; projected flat
abf,Abai Sungai,250,113,250,0.0,no observed rate; projected flat
abh,Tajiki Spoken Arabic,6000,2718,6000,0.0,no observed rate; projected flat
abp,Abellen Ayta,3500,1585,3500,0.0,no observed rate; projected flat
abq,Abaza,47880,32322,47880,0.0,no observed rate; projected flat
abz,Abui,16000,7247,16000,0.0,no observed rate; projected flat
aca,Achagua,283,128,283,0.0,no observed rate; projected flat
acn,Xiandao,40,18,40,0.0,no observed rate; projected flat
acr,Achi',51593,34828,51593,0.0,no observed rate; projected flat
acu,Achuar,5443,2465,5443,0.0,no observed rate; projected flat
acy,Cypriot Spoken Arabic,1000,453,1000,0.0,no observed rate; projected flat
acz,Acheron,20000,13501,20000,0.0,no observed rate; projected flat
adi,Adi,100190,67634,100190,0.0,no observed rate; projected flat
adl,Galo,35000,23627,35000,0.0,no observed rate; projected flat
adn,Adang,7000,3171,7000,0.0,no observed rate; projected flat
ado,Abu,2347,1063,2347,0.0,no observed rate; projected flat
ads,Adamorobe Sign Language,35,16,35,0.0,no observed rate; projected flat
adt,Adnyamathanha,100,45,100,0.0,no observed rate; projected flat
adz,Adzera,28900,19509,28900,0.0,no observed rate; projected flat
aek,Haeke,100,20,100,0.0,no observed rate; projected flat
ael,Ambele,3600,2430,3600,0.0,no observed rate; projected flat
aem,Arem,50,10,50,0.0,no observed rate; projected flat
aeq,Aer,200,91,200,0.0,no observed rate; projected flat
aer,Eastern and Central Arrernte,3820,1730,3820,0.0,no observed rate; projected flat
aeu,Akeu,5000,2265,5000,0.0,no observed rate; projected flat
aew,Ambakich,770,349,770,0.0,no observed rate; projected flat
afd,Meakambut,100,45,100,0.0,no observed rate; projected flat
afi,Chini,75,15,75,0.0,no observed rate; projected flat
afn,Defaka,100,20,100,0.0,no observed rate; projected flat
aft,Afitti,4000,1812,4000,0.0,no observed rate; projected flat
afz,Obokuitai,120,54,120,0.0,no observed rate; projected flat
agf,Arguni,150,68,150,0.0,no observed rate; projected flat
agg,Angor,1250,566,1250,0.0,no observed rate; projected flat
agj,Argobba,10860,7331,10860,0.0,no observed rate; projected flat
agl,Fembe,350,159,350,0.0,no observed rate; projected flat
agr,Aguaruna,55000,37128,55000,0.0,no observed rate; projected flat
agt,Central Cagayan Agta,780,353,780,0.0,no observed rate; projected flat
agu,Awakateko,16272,10985,16272,0.0,no observed rate; projected flat
agx,Aghul,9000,4077,9000,0.0,no observed rate; projected flat
agy,Kabulowan,450,90,450,0.0,no observed rate; projected flat
ahl,Igo,6000,2718,6000,0.0,no observed rate; projected flat
ahn,Àhàn,300,136,300,0.0,no observed rate; projected flat
aib,Ainu (China),6000,2718,6000,0.0,no observed rate; projected flat
aic,Ainbai,110,50,110,0.0,no observed rate; projected flat
aie,Amara,116,53,116,0.0,no observed rate; projected flat
aif,Agi,670,303,670,0.0,no observed rate; projected flat
aij,Inter-Zab Jewish Neo-Aramaic,5500,1101,5500,0.0,no observed rate; projected flat
aik,Ake,1000,675,1000,0.0,no observed rate; projected flat
